[rosmaster.main][INFO] 2024-03-04 01:28:13,256: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-04 01:28:13,256: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-04 01:28:13,257: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-04 01:28:13,257: Started XML-RPC server [http://DESKTOP-LL832F4:11311/]
[xmlrpc][INFO] 2024-03-04 01:28:13,257: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-04 01:28:13,257: Master initialized: port[11311], uri[http://DESKTOP-LL832F4:11311/]
[rosmaster.master][INFO] 2024-03-04 01:28:13,285: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:28:13,286: +PARAM [/roslaunch/uris/host_desktop_ll832f4__41379] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:28:13,334: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:28:13,334: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:28:13,343: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-LL832F4:34607/
[rosmaster.master][INFO] 2024-03-04 01:28:13,344: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-LL832F4:34607/
[rosmaster.master][INFO] 2024-03-04 01:28:13,345: +PUB [/rosout_agg] /rosout http://DESKTOP-LL832F4:34607/
[rosmaster.master][INFO] 2024-03-04 01:28:13,347: +SUB [/rosout] /rosout http://DESKTOP-LL832F4:34607/
[rosmaster.master][INFO] 2024-03-04 01:28:13,422: +PUB [/rosout] /Collision_listener_2997_1709483282860 http://DESKTOP-LL832F4:33929/
[rosmaster.master][INFO] 2024-03-04 01:28:13,424: +SERVICE [/Collision_listener_2997_1709483282860/get_loggers] /Collision_listener_2997_1709483282860 http://DESKTOP-LL832F4:33929/
[rosmaster.master][INFO] 2024-03-04 01:28:13,425: +SERVICE [/Collision_listener_2997_1709483282860/set_logger_level] /Collision_listener_2997_1709483282860 http://DESKTOP-LL832F4:33929/
[rosmaster.master][INFO] 2024-03-04 01:28:13,426: +SUB [/CollisionData] /Collision_listener_2997_1709483282860 http://DESKTOP-LL832F4:33929/
[rosmaster.master][INFO] 2024-03-04 01:28:13,456: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ ['http://DESKTOP-LL832F4:33929/']
[rosmaster.master][INFO] 2024-03-04 01:28:13,459: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ ['http://DESKTOP-LL832F4:33929/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-04 01:28:15,759: -SUB [/CollisionData] /Collision_listener_2997_1709483282860 http://DESKTOP-LL832F4:33929/
[rosmaster.master][INFO] 2024-03-04 01:28:15,759: -PUB [/rosout] /Collision_listener_2997_1709483282860 http://DESKTOP-LL832F4:33929/
[rosmaster.master][INFO] 2024-03-04 01:28:15,759: -SERVICE [/Collision_listener_2997_1709483282860/set_logger_level] /Collision_listener_2997_1709483282860 rosrpc://DESKTOP-LL832F4:40665
[rosmaster.master][INFO] 2024-03-04 01:28:15,759: -SERVICE [/Collision_listener_2997_1709483282860/get_loggers] /Collision_listener_2997_1709483282860 rosrpc://DESKTOP-LL832F4:40665
[rosmaster.master][INFO] 2024-03-04 01:28:15,761: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ []
[rosmaster.master][INFO] 2024-03-04 01:28:15,762: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-04 01:28:17,925: +PUB [/rosout] /Collision_listener_3082_1709483297797 http://DESKTOP-LL832F4:38015/
[rosmaster.master][INFO] 2024-03-04 01:28:17,928: +SERVICE [/Collision_listener_3082_1709483297797/get_loggers] /Collision_listener_3082_1709483297797 http://DESKTOP-LL832F4:38015/
[rosmaster.master][INFO] 2024-03-04 01:28:17,929: +SERVICE [/Collision_listener_3082_1709483297797/set_logger_level] /Collision_listener_3082_1709483297797 http://DESKTOP-LL832F4:38015/
[rosmaster.master][INFO] 2024-03-04 01:28:17,930: +SUB [/CollisionData] /Collision_listener_3082_1709483297797 http://DESKTOP-LL832F4:38015/
[rosmaster.master][INFO] 2024-03-04 01:28:17,965: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ ['http://DESKTOP-LL832F4:38015/']
[rosmaster.master][INFO] 2024-03-04 01:28:17,966: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ ['http://DESKTOP-LL832F4:38015/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-04 01:28:25,582: -SUB [/CollisionData] /Collision_listener_3082_1709483297797 http://DESKTOP-LL832F4:38015/
[rosmaster.master][INFO] 2024-03-04 01:28:25,583: -PUB [/rosout] /Collision_listener_3082_1709483297797 http://DESKTOP-LL832F4:38015/
[rosmaster.master][INFO] 2024-03-04 01:28:25,583: -SERVICE [/Collision_listener_3082_1709483297797/set_logger_level] /Collision_listener_3082_1709483297797 rosrpc://DESKTOP-LL832F4:45793
[rosmaster.master][INFO] 2024-03-04 01:28:25,583: -SERVICE [/Collision_listener_3082_1709483297797/get_loggers] /Collision_listener_3082_1709483297797 rosrpc://DESKTOP-LL832F4:45793
[rosmaster.master][INFO] 2024-03-04 01:28:25,680: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ []
[rosmaster.master][INFO] 2024-03-04 01:28:25,680: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:34607/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-04 01:28:43,902: +PUB [/rosout] /Collision_listener_3115_1709483323768 http://DESKTOP-LL832F4:45533/
