[rosmaster.main][INFO] 2024-02-29 16:28:47,041: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-02-29 16:28:47,041: Starting ROS Master Node
[xmlrpc][INFO] 2024-02-29 16:28:47,044: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-02-29 16:28:47,044: Started XML-RPC server [http://DESKTOP-LL832F4:11311/]
[xmlrpc][INFO] 2024-02-29 16:28:47,045: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-02-29 16:28:47,045: Master initialized: port[11311], uri[http://DESKTOP-LL832F4:11311/]
[rosmaster.master][INFO] 2024-02-29 16:28:47,140: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,141: +PARAM [/roslaunch/uris/host_desktop_ll832f4__42821] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,186: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,187: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2024-02-29 16:28:47,193: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-LL832F4:42509/
[rosmaster.master][INFO] 2024-02-29 16:28:47,194: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-LL832F4:42509/
[rosmaster.master][INFO] 2024-02-29 16:28:47,195: +PUB [/rosout_agg] /rosout http://DESKTOP-LL832F4:42509/
[rosmaster.master][INFO] 2024-02-29 16:28:47,197: +SUB [/rosout] /rosout http://DESKTOP-LL832F4:42509/
[rosmaster.master][INFO] 2024-02-29 16:28:47,764: +PUB [/rosout] /rosapi http://DESKTOP-LL832F4:43831/
[rosmaster.master][INFO] 2024-02-29 16:28:47,766: +SERVICE [/rosapi/get_loggers] /rosapi http://DESKTOP-LL832F4:43831/
