[rosmaster.main][INFO] 2024-03-04 01:39:02,780: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-04 01:39:02,780: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-04 01:39:02,781: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-04 01:39:02,782: Started XML-RPC server [http://DESKTOP-LL832F4:11311/]
[rosmaster.master][INFO] 2024-03-04 01:39:02,782: Master initialized: port[11311], uri[http://DESKTOP-LL832F4:11311/]
[xmlrpc][INFO] 2024-03-04 01:39:02,782: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-04 01:39:02,807: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,809: +PARAM [/roslaunch/uris/host_desktop_ll832f4__45407] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,855: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,855: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,855: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,855: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,855: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,855: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,855: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,856: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:39:02,859: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-LL832F4:46331/
[rosmaster.master][INFO] 2024-03-04 01:39:02,860: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-LL832F4:46331/
[rosmaster.master][INFO] 2024-03-04 01:39:02,862: +PUB [/rosout_agg] /rosout http://DESKTOP-LL832F4:46331/
[rosmaster.master][INFO] 2024-03-04 01:39:02,864: +SUB [/rosout] /rosout http://DESKTOP-LL832F4:46331/
[rosmaster.master][INFO] 2024-03-04 01:39:03,335: +PUB [/rosout] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,337: +SERVICE [/rosapi/get_loggers] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,338: +SERVICE [/rosapi/set_logger_level] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,341: +SERVICE [/rosapi/topics] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,341: +SERVICE [/rosapi/topics_for_type] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,342: +SERVICE [/rosapi/services] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,343: +SERVICE [/rosapi/services_for_type] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,344: +SERVICE [/rosapi/nodes] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,344: +SERVICE [/rosapi/node_details] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,345: +SERVICE [/rosapi/action_servers] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,346: +SERVICE [/rosapi/topic_type] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,346: +SERVICE [/rosapi/service_type] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,347: +SERVICE [/rosapi/publishers] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,348: +SERVICE [/rosapi/subscribers] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,349: +SERVICE [/rosapi/service_providers] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,349: +SERVICE [/rosapi/service_node] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,350: +SERVICE [/rosapi/service_host] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,351: +SERVICE [/rosapi/message_details] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,351: +SERVICE [/rosapi/service_request_details] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,352: +SERVICE [/rosapi/service_response_details] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,353: +SERVICE [/rosapi/set_param] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,353: +SERVICE [/rosapi/get_param] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,354: +SERVICE [/rosapi/has_param] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,355: +SERVICE [/rosapi/search_param] /rosapi http://DESKTOP-LL832F4:45341/
[rosmaster.master][INFO] 2024-03-04 01:39:03,355: +SERVICE [/rosapi/delete_param] /rosapi http://DESKTOP-LL832F4:45341/
