[rosmaster.main][INFO] 2024-03-04 01:10:41,006: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-04 01:10:41,007: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-04 01:10:41,007: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-04 01:10:41,008: Started XML-RPC server [http://DESKTOP-LL832F4:11311/]
[rosmaster.master][INFO] 2024-03-04 01:10:41,008: Master initialized: port[11311], uri[http://DESKTOP-LL832F4:11311/]
[xmlrpc][INFO] 2024-03-04 01:10:41,008: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-04 01:10:41,022: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:10:41,023: +PARAM [/roslaunch/uris/host_desktop_ll832f4__36713] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:10:41,066: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:10:41,066: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-04 01:10:41,074: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-LL832F4:41861/
[rosmaster.master][INFO] 2024-03-04 01:10:41,075: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-LL832F4:41861/
[rosmaster.master][INFO] 2024-03-04 01:10:41,076: +PUB [/rosout_agg] /rosout http://DESKTOP-LL832F4:41861/
[rosmaster.master][INFO] 2024-03-04 01:10:41,078: +SUB [/rosout] /rosout http://DESKTOP-LL832F4:41861/
[rosmaster.master][INFO] 2024-03-04 01:10:43,000: -SUB [/collision_topic] /Collision_listener_2225_1709482228215 http://DESKTOP-LL832F4:35947/
[rosmaster.master][INFO] 2024-03-04 01:10:43,000: -PUB [/rosout] /Collision_listener_2225_1709482228215 http://DESKTOP-LL832F4:35947/
[rosmaster.master][INFO] 2024-03-04 01:10:43,000: -SERVICE [/Collision_listener_2225_1709482228215/get_loggers] /Collision_listener_2225_1709482228215 rosrpc://DESKTOP-LL832F4:40107
[rosmaster.master][INFO] 2024-03-04 01:10:43,000: -SERVICE [/Collision_listener_2225_1709482228215/set_logger_level] /Collision_listener_2225_1709482228215 rosrpc://DESKTOP-LL832F4:40107
[rosmaster.master][INFO] 2024-03-04 01:10:45,225: +PUB [/rosout] /Collision_listener_2320_1709482245096 http://DESKTOP-LL832F4:40751/
[rosmaster.master][INFO] 2024-03-04 01:10:45,228: +SERVICE [/Collision_listener_2320_1709482245096/get_loggers] /Collision_listener_2320_1709482245096 http://DESKTOP-LL832F4:40751/
[rosmaster.master][INFO] 2024-03-04 01:10:45,229: +SERVICE [/Collision_listener_2320_1709482245096/set_logger_level] /Collision_listener_2320_1709482245096 http://DESKTOP-LL832F4:40751/
[rosmaster.master][INFO] 2024-03-04 01:10:45,231: +SUB [/collision_topic] /Collision_listener_2320_1709482245096 http://DESKTOP-LL832F4:40751/
[rosmaster.master][INFO] 2024-03-04 01:10:45,316: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:41861/ ['http://DESKTOP-LL832F4:40751/']
[rosmaster.master][INFO] 2024-03-04 01:10:45,317: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:41861/ ['http://DESKTOP-LL832F4:40751/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-04 01:11:01,198: -SUB [/ctrl_cmd] /rosbridge_websocket http://DESKTOP-LL832F4:38555/
