[rosmaster.main][INFO] 2024-03-06 10:14:43,364: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-06 10:14:43,364: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-06 10:14:43,366: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-06 10:14:43,366: Started XML-RPC server [http://DESKTOP-LL832F4:11311/]
[rosmaster.master][INFO] 2024-03-06 10:14:43,366: Master initialized: port[11311], uri[http://DESKTOP-LL832F4:11311/]
[xmlrpc][INFO] 2024-03-06 10:14:43,366: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-06 10:14:43,427: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,428: +PARAM [/roslaunch/uris/host_desktop_ll832f4__35833] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,468: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,468: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,468: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,468: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,468: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/websocket_ping_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,469: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 10:14:43,509: +SERVICE [/rosout/get_loggers] /rosout http://DESKTOP-LL832F4:42491/
[rosmaster.master][INFO] 2024-03-06 10:14:43,509: +SERVICE [/rosout/set_logger_level] /rosout http://DESKTOP-LL832F4:42491/
[rosmaster.master][INFO] 2024-03-06 10:14:43,510: +PUB [/rosout_agg] /rosout http://DESKTOP-LL832F4:42491/
[rosmaster.master][INFO] 2024-03-06 10:14:43,512: +SUB [/rosout] /rosout http://DESKTOP-LL832F4:42491/
[rosmaster.master][INFO] 2024-03-06 10:14:43,941: +PUB [/rosout] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,944: +SERVICE [/rosapi/get_loggers] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,945: +SERVICE [/rosapi/set_logger_level] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,947: +SERVICE [/rosapi/topics] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,947: +SERVICE [/rosapi/topics_for_type] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,948: +SERVICE [/rosapi/services] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,949: +SERVICE [/rosapi/services_for_type] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,949: +SERVICE [/rosapi/nodes] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,950: +SERVICE [/rosapi/node_details] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,950: +SERVICE [/rosapi/action_servers] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,951: +SERVICE [/rosapi/topic_type] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,951: +SERVICE [/rosapi/service_type] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,952: +SERVICE [/rosapi/publishers] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,952: +SERVICE [/rosapi/subscribers] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,953: +SERVICE [/rosapi/service_providers] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,954: +SERVICE [/rosapi/service_node] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,954: +SERVICE [/rosapi/service_host] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,955: +SERVICE [/rosapi/message_details] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,956: +SERVICE [/rosapi/service_request_details] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,956: +SERVICE [/rosapi/service_response_details] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,957: +SERVICE [/rosapi/set_param] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,957: +SERVICE [/rosapi/get_param] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,958: +SERVICE [/rosapi/has_param] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,959: +SERVICE [/rosapi/search_param] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,959: +SERVICE [/rosapi/delete_param] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,960: +SERVICE [/rosapi/get_param_names] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,960: +SERVICE [/rosapi/get_time] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,961: +SERVICE [/rosapi/topics_and_raw_types] /rosapi http://DESKTOP-LL832F4:35551/
[rosmaster.master][INFO] 2024-03-06 10:14:43,961: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosapi
[rosmaster.master][INFO] 2024-03-06 10:14:43,966: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:42491/ ['http://DESKTOP-LL832F4:35551/']
[rosmaster.master][INFO] 2024-03-06 10:14:43,967: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:42491/ ['http://DESKTOP-LL832F4:35551/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-06 10:14:44,170: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2024-03-06 10:14:44,335: +PUB [/rosout] /rosbridge_websocket http://DESKTOP-LL832F4:37089/
[rosmaster.master][INFO] 2024-03-06 10:14:44,338: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://DESKTOP-LL832F4:37089/
[rosmaster.master][INFO] 2024-03-06 10:14:44,338: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://DESKTOP-LL832F4:37089/
[rosmaster.master][INFO] 2024-03-06 10:14:44,344: +PUB [/client_count] /rosbridge_websocket http://DESKTOP-LL832F4:37089/
[rosmaster.master][INFO] 2024-03-06 10:14:44,345: +PUB [/connected_clients] /rosbridge_websocket http://DESKTOP-LL832F4:37089/
[rosmaster.master][INFO] 2024-03-06 10:14:44,346: +PARAM [/rosbridge_websocket/actual_port] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-06 10:14:44,349: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-06 10:14:44,367: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:42491/ ['http://DESKTOP-LL832F4:35551/', 'http://DESKTOP-LL832F4:37089/']
[rosmaster.master][INFO] 2024-03-06 10:14:44,368: publisherUpdate[/rosout] -> http://DESKTOP-LL832F4:42491/ ['http://DESKTOP-LL832F4:35551/', 'http://DESKTOP-LL832F4:37089/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-03-06 10:14:54,499: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
[rosmaster.master][INFO] 2024-03-06 10:14:56,840: +SUB [/ctrl_cmd] /rosbridge_websocket http://DESKTOP-LL832F4:37089/
[rosmaster.master][INFO] 2024-03-06 10:14:56,841: +CACHEDPARAM [/rosout_disable_topics_generation] by /rosbridge_websocket
