[rosmaster.main][INFO] 2024-03-06 16:34:31,409: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-06 16:34:31,409: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-06 16:34:31,411: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-06 16:34:31,411: Started XML-RPC server [http://DESKTOP-LL7FDJ6:11311/]
[xmlrpc][INFO] 2024-03-06 16:34:31,411: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-06 16:34:31,411: Master initialized: port[11311], uri[http://DESKTOP-LL7FDJ6:11311/]
[rosmaster.master][INFO] 2024-03-06 16:34:31,419: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,420: +PARAM [/roslaunch/uris/host_desktop_ll7fdj6__42941] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosbridge_websocket/websocket_ping_interval] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,446: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,447: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,447: +PARAM [/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,447: +PARAM [/rosbridge_websocket/websocket_external_port] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,447: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2024-03-06 16:34:31,447: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
